tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
188.666490	4	10	5	1	1	tMatch	sigma	1	190687
240.589289	4	10	6	1	1	tMatch	sigma	1	241586
306.103976	4	10	7	1	1	tMatch	sigma	1	251141
384.432120	4	10	8	1	1	tMatch	sigma	1	219626
471.934460	4	10	9	1	1	tMatch	sigma	1	162027
572.309870	4	10	10	1	1	tMatch	sigma	1	98084
4.704431	5	1	1	1	1	tMatch	sigma	1	7770
5.969876	5	1	2	1	1	tMatch	sigma	1	6935
7.728362	5	1	3	1	1	tMatch	sigma	1	5023
9.738265	5	1	4	1	1	tMatch	sigma	1	3814
12.735296	5	1	5	1	1	tMatch	sigma	1	2907
16.737116	5	1	6	1	1	tMatch	sigma	1	2160
21.088550	5	1	7	1	1	tMatch	sigma	1	1560
25.312437	5	1	8	1	1	tMatch	sigma	1	1212
31.099311	5	1	9	1	1	tMatch	sigma	1	741
NaN	5	1	10	1	1	tMatch	sigma	1	188
5.565504	5	2	1	1	1	tMatch	sigma	1	748
6.916125	5	2	2	1	1	tMatch	sigma	1	1512
8.864318	5	2	3	1	1	tMatch	sigma	1	2713
10.992719	5	2	4	1	1	tMatch	sigma	1	4440
14.557107	5	2	5	1	1	tMatch	sigma	1	5886
20.262999	5	2	6	1	1	tMatch	sigma	1	5285
26.632491	5	2	7	1	1	tMatch	sigma	1	4588
32.926686	5	2	8	1	1	tMatch	sigma	1	3908
39.922958	5	2	9	1	1	tMatch	sigma	1	3139
47.656537	5	2	10	1	1	tMatch	sigma	1	2129
9.751002	5	3	1	1	1	tMatch	sigma	1	651
11.546489	5	3	2	1	1	tMatch	sigma	1	1230
13.618277	5	3	3	1	1	tMatch	sigma	1	2316
14.972332	5	3	4	1	1	tMatch	sigma	1	4326
18.222295	5	3	5	1	1	tMatch	sigma	1	7622
25.570089	5	3	6	1	1	tMatch	sigma	1	8340
33.615095	5	3	7	1	1	tMatch	sigma	1	7802
42.718357	5	3	8	1	1	tMatch	sigma	1	7006
52.209355	5	3	9	1	1	tMatch	sigma	1	6129
64.099074	5	3	10	1	1	tMatch	sigma	1	5425
15.955402	5	4	1	1	1	tMatch	sigma	1	1888
18.205457	5	4	2	1	1	tMatch	sigma	1	3312
20.564766	5	4	3	1	1	tMatch	sigma	1	5523
23.574446	5	4	4	1	1	tMatch	sigma	1	8985
27.879825	5	4	5	1	1	tMatch	sigma	1	13547
36.266211	5	4	6	1	1	tMatch	sigma	1	15642
46.247174	5	4	7	1	1	tMatch	sigma	1	15226
57.880917	5	4	8	1	1	tMatch	sigma	1	13773
70.682294	5	4	9	1	1	tMatch	sigma	1	12070
87.332284	5	4	10	1	1	tMatch	sigma	1	9868
23.197442	5	5	1	1	1	tMatch	sigma	1	4236
25.869517	5	5	2	1	1	tMatch	sigma	1	8138
29.526833	5	5	3	1	1	tMatch	sigma	1	14041
33.848078	5	5	4	1	1	tMatch	sigma	1	22917
41.005125	5	5	5	1	1	tMatch	sigma	1	33385
51.563898	5	5	6	1	1	tMatch	sigma	1	38871
65.454295	5	5	7	1	1	tMatch	sigma	1	38130
81.941548	5	5	8	1	1	tMatch	sigma	1	33690
100.725616	5	5	9	1	1	tMatch	sigma	1	27416
124.121070	5	5	10	1	1	tMatch	sigma	1	21243
30.815070	5	6	1	1	1	tMatch	sigma	1	7788
34.392425	5	6	2	1	1	tMatch	sigma	1	18381
40.134657	5	6	3	1	1	tMatch	sigma	1	38440
47.461127	5	6	4	1	1	tMatch	sigma	1	68126
58.581183	5	6	5	1	1	tMatch	sigma	1	100813
74.022148	5	6	6	1	1	tMatch	sigma	1	119283
94.201872	5	6	7	1	1	tMatch	sigma	1	115458
119.311585	5	6	8	1	1	tMatch	sigma	1	96928
147.078418	5	6	9	1	1	tMatch	sigma	1	73753
180.522643	5	6	10	1	1	tMatch	sigma	1	50151
43.000670	5	7	1	1	1	tMatch	sigma	1	14470
48.952649	5	7	2	1	1	tMatch	sigma	1	37039
56.988444	5	7	3	1	1	tMatch	sigma	1	80694
68.388055	5	7	4	1	1	tMatch	sigma	1	148772
83.970428	5	7	5	1	1	tMatch	sigma	1	227466
106.546969	5	7	6	1	1	tMatch	sigma	1	276646
136.684850	5	7	7	1	1	tMatch	sigma	1	269932
173.036360	5	7	8	1	1	tMatch	sigma	1	226541
214.921607	5	7	9	1	1	tMatch	sigma	1	167896
264.483669	5	7	10	1	1	tMatch	sigma	1	108540
63.838292	5	8	1	1	1	tMatch	sigma	1	21286
72.835300	5	8	2	1	1	tMatch	sigma	1	51771
84.448846	5	8	3	1	1	tMatch	sigma	1	110066
100.550588	5	8	4	1	1	tMatch	sigma	1	204454
123.817286	5	8	5	1	1	tMatch	sigma	1	314134
156.639703	5	8	6	1	1	tMatch	sigma	1	385230
200.696447	5	8	7	1	1	tMatch	sigma	1	382107
253.422854	5	8	8	1	1	tMatch	sigma	1	327292
